ə
eɪ
eɪ z
eɪ
eɪ z
eɪ z
b ɹ ɛ
n d ə
b ɹ ɛ
d ə z
b ɹ ɛ
d ə n
b ɹ ɛ
d ə l
b ɹ ɛ
d ə n
b ɹ ɛ
d ə ɹ
b ɹ ɛ
d ə l
b ɹ ɛ
ŋ ə ɹ
b ɹ ɛ
ŋ ə ɹ
b ɹ ɛ
d ə n
b ɹ ɛ
d ə ɹ
b ɹ ɛ
s ə l
b ɹ iː
m ə n
b ɹ iː
n ə ɹ
b ɹ iː
iː n z
b ɹ ɪ
ŋ ə l
b ɹ ɛ
z ə ɹ
b ɹ ɛ
ɹ ɛ n
b ɹ ɛ
ɛ n ə
b ɹ ɛ
n ə n
b ɹ ɛ
ə n z
b ɹ ɛ
ə n z
b ɹ ɛ
n ɪ k
b ɹ ɛ
ə k iː
b ɹ ɛ
m ə n
b ɹ ɛ
n ə n
b ɹ ɛ
n ə ɹ
b ɹ ɛ
n ɪ ŋ
b ɹ ɛ
ŋ ə ɹ
b ɹ ɛ
ɛ n t
b ɹ ɛ
ɑː n oʊ
b ɹ ɛ
n oʊ z
b ɹ ɛ
ŋ ə ɹ
b ɹ ɛ
ŋ ə ɹ
b ɹ ɛ
t ə n
b ɹ ɛ
n t s
b ɹ ɛ
w ʊ d
b ɹ iː
iː ə n
b ɹ ɛ
s k ə
b ɹ ɛ
s tʃ ə
b ɹ ɪ
ɪ s iː
b ɹ ɪ
s ɛ t
b ɹ ɛ
iː ɹ z
b ɹ ɛ
s l ɑː
b ɹ ɛ
l ə ɹ
b ɹ ɛ
l ɪ n
b ɹ ɛ
s l oʊ
b ɹ ɛ
h æ n
b ɹ ɛ
n ə n
b ɹ ɛ
n ɪ k
b ɹ ɛ
ɹ ɛ s
b ɹ ɛ
ɹ ɛ s
b ɹ ɛ
ɛ s oʊ
b ɹ ɛ
s ə ɹ
b ɹ ɛ
ə ɹ z
b ɹ ɛ
s ɛ t
b ɹ ɛ
l ə ɹ
b ɹ ɛ
m ə n
b ɹ ɛ
s ə n
b ɹ ɛ
ɛ s t
b ɹ ɛ
t ə ɹ
b ɹ ɛ
ɹ ɛ t
b ɹ ɛ
ɹ ɛ θ
b ɹ ɛ
aʊ ə ɹ
b ɹ iː
θ ə n
b ɹ ɛ
ɹ ə n
b ɹ ɛ
t ə n
b ɹ ɛ
d ə ɹ
b ɹ ɛ
ɹ ɛ t
b ɹ ɛ
aʊ ə ɹ
b ɹ ɛ
t ə n
b ɹ ɛ
ɛ t s
b ɹ ɛ
d ə ɹ
b ɹ ɛ
d ə ɹ
b ɹ ɛ
ɛ t s
b ɹ uː
uː ə ɹ
b ɹ uː
n ɪ ɡ
b ɹ uː
ŋ ə ɹ
b ɹ ɛ
ə ɹ d
b ɹ ə
ɛ t s
b ɹ ɛ
v ɪ ɡ
b ɹ ɛ
v ɪ k
b ɹ ɛ
ə t iː
b ɹ uː
b ɹ uː
k ə ɹ
b ɹ uː
ɹ uː d
b ɹ uː
uː ə ɹ
b ɹ uː
ə ɹ z
b ɹ uː
ɹ iː z
b ɹ uː
ɹ iː z
b ɹ uː
ə ɹ z
b ɹ uː
ə ɹ z
b ɹ uː
ə ɹ iː
b ɹ uː
uː ɪ ŋ
b ɹ uː
t ə n
b ɹ uː
uː ɹ iː
b ɹ uː
ɹ uː z
b ɹ uː
t ə ɹ
b ɹ uː
t ə n
b ɹ eɪ
b ɹ eɪ
eɪ ə ɹ
b ɹ eɪ
ə ɹ z
b ɹ eɪ
ɡ ə l
b ɹ ɛ
ɛ z ə
b ɹ ɛ
n ə v
b ɹ ɛ
n ɛ f
b ɹ ɛ
ə v z
b ɹ ɛ
ɛ f s
b ɹ ɛ
iː n ə
b ɹ ɪ
s k iː
b ɹ iː
ɹ iː ə
b ɹ aɪ
aɪ ə n
b ɹ aɪ
ə n z
b ɹ iː
æ n ə
b ɹ iː
ɑː n ə
b ɹ iː
n ə z
b ɹ iː
n ə z
b ɹ aɪ
s ə n
b ɹ aɪ
ə n d
b ɹ iː
æ n ə
b ɹ iː
n ə z
b ɹ aɪ
ə n t
b ɹ aɪ
aɪ ə ɹ
b ɹ aɪ
l ɪ f
b ɹ aɪ
ɹ aɪ b
b ɹ aɪ
aɪ b d
b ɹ aɪ
ə ɹ iː
b ɹ aɪ
aɪ b z
b ɹ aɪ
b ɪ ŋ
b ɹ ɪ
ɹ ɪ k
b ɹ ɪ
ɛ t iː
b ɹ ɪ
ɪ k oʊ
b ɹ aɪ
ɹ aɪ s
b ɹ iː
ɛ n oʊ
b ɹ ɪ
ɹ ɪ k
b ɹ ɪ
b æ t
b ɹ ɪ
æ t s
b ɹ ɪ
k ə l
b ɹ ɪ
k ə l
b ɹ ɪ
k ə ɹ
b ɹ ɪ
ɪ k iː
b ɹ ɪ
h aʊ s
b ɹ ɪ
eɪ ə ɹ
b ɹ ɪ
ə ɹ z
b ɹ ɪ
k ə l
b ɹ ɪ
l ə ɹ
b ɹ ɪ
k l iː
b ɹ ɪ
l ɪ n
b ɹ ɪ
ɪ n z
b ɹ ɪ
m ə n
b ɹ ɪ
n ə ɹ
b ɹ ɪ
ɪ k s
b ɹ ɪ
ɑː ɹ d
b ɹ ɪ
k ə m
b ɹ aɪ
d ə l
b ɹ aɪ
ɹ aɪ d
b ɹ aɪ
aɪ d z
b ɹ ɪ
ɪ d oʊ
b ɹ aɪ
ɹ uː m
b ɹ aɪ
uː m z
b ɹ aɪ
d ə n
b ɹ ɪ
n b aʊ
b ɹ ɪ
t iː n
b ɹ aɪ
aɪ d z
b ɹ aɪ
ə ɹ ɡ
b ɹ aɪ
m eɪ d
b ɹ aɪ
eɪ d z
b ɹ aɪ
eɪ d z
b ɹ aɪ
eɪ d z
b ɹ ɪ
ɹ ɪ dʒ
b ɹ ɪ
dʒ ɪ z
b ɹ ɪ
ɪ dʒ d
b ɹ ɪ
ɔː ɹ d
b ɹ ɪ
ɔː ɹ θ
b ɹ ɪ
h ɛ d
b ɹ ɪ
m ə n
b ɹ ɪ
ɔː ɹ t
b ɹ ɪ
dʒ ə ɹ
b ɹ ɪ
ə ɹ z
b ɹ ɪ
dʒ ə z
b ɹ ɪ
dʒ ɪ z
b ɹ ɪ
t oʊ n
b ɹ ɪ
oʊ n z
b ɹ ɪ
dʒ ə t
b ɹ ɪ
dʒ ɪ t
b ɹ ɪ
ə t s
b ɹ ɪ
t ə n
b ɹ ɪ
t aʊ n
b ɹ ɪ
dʒ ɪ t
b ɹ ɪ
dʒ ɪ t
b ɹ ɪ
dʒ iː t
b ɹ ɪ
t ə ɹ
b ɹ ɪ
h ə m
b ɹ ɪ
dʒ ɪ ŋ
b ɹ ɪ
m ə n
b ɹ ɪ
ɪ d iː
b ɹ aɪ
d ə l
b ɹ aɪ
ə l d
b ɹ ɪ
w ɛ l
b ɹ iː
b ɹ iː
ə n t
b ɹ iː
ɹ iː f
b ɹ iː
k eɪ s
b ɹ iː
s ɪ z
b ɹ iː
iː f t
b ɹ iː
f ə ɹ
b ɹ iː
ə ɹ z
b ɹ iː
ə s t
b ɹ iː
f ɪ ŋ
b ɹ iː
ɪ ŋ z
b ɹ iː
f l iː
b ɹ iː
iː f s
b ɹ iː
ɡ ə l
b ɹ iː
ɡ ə ɹ
b ɹ iː
ɹ iː l
b ɹ aɪ
aɪ ɪ n
b ɹ iː
n z ə
b ɹ aɪ
aɪ ə ɹ
b ɹ ɪ
ɹ ɪ ɹ
b ɹ aɪ
ɹ l iː
b ɹ aɪ
ɹ l iː
b ɹ iː
ɹ iː z
b ɹ iː
s k iː
b ɹ ɪ
ɹ ɪ ɡ
b ɹ ə
ɡ eɪ d
b ɹ ɪ
ɡ eɪ d
b ɹ ɪ
d ɪ ɹ
b ɹ ɪ
eɪ d z
b ɹ ɪ
d ɪ ɹ
b ɹ ɪ
ə n s
b ɹ ɪ
n d iː
b ɹ iː
n t iː
b ɹ ɪ
n t iː
b ɹ ɪ
ɪ ɡ z
b ɹ ɪ
t oʊ n
b ɹ ɪ
ɡ ə m
b ɹ ɪ
ə m z
b ɹ ɪ
ə m z
b ɹ aɪ
ɹ aɪ t
b ɹ aɪ
aɪ t s
b ɹ aɪ
b ɪ l
b ɹ aɪ
t ə n
b ɹ aɪ
ə n d
b ɹ aɪ
n ɪ ŋ
b ɹ aɪ
n ɪ ŋ
b ɹ aɪ
ə n z
b ɹ aɪ
t ə ɹ
b ɹ aɪ
ə s t
b ɹ aɪ
t l iː
b ɹ aɪ
m ə n
b ɹ aɪ
n ə s
b ɹ aɪ
t ə n
b ɹ aɪ
w ɛ l
b ɹ ɪ
dʒ ɪ t
b ɹ ɪ
m ə n
b ɹ ɪ
n ə k
b ɹ aɪ
n ə ɹ
b ɹ ɪ
oʊ d ə
b ɹ ɪ
l iː oʊ
b ɹ aɪ
aɪ l z
b ɹ ɪ
ɪ l iː
b ɹ ɪ
ɹ ɪ l
b ɹ ɪ
ɪ l z
b ɹ ɪ
ɑː ɹ t
b ɹ ɪ
ə n s
b ɹ ɪ
ə n t
b ɹ ɪ
t l iː
b ɹ ɪ
t iː n
b ɹ ɪ
t aɪ n
b ɹ ɪ
ɹ ɪ m
b ɹ ɪ
ɛ ɹ iː
b ɹ ɪ
ə l oʊ
b ɹ aɪ
m ə ɹ
b ɹ ɪ
h ɔː l
b ɹ ɪ
ɹ ɪ m
b ɹ ɪ
ɪ m d
b ɹ ɪ
m ə ɹ
b ɹ ɪ
m ɪ ŋ
b ɹ ɪ
t oʊ n
b ɹ ɪ
ɹ ɪ n
b ɹ ɪ
d ɛ l
b ɹ ɪ
d ə l
b ɹ ɪ
d l iː
b ɹ aɪ
ɹ aɪ n
b ɹ ɪ
ɡ ə ɹ
b ɹ aɪ
n ə ɹ
b ɹ aɪ
aɪ n z
b ɹ ɪ
ɪ n iː
b ɹ ɪ
ɹ ɪ ŋ
b ɹ ɪ
ɹ s t
b ɹ ɪ
ŋ ɪ ŋ
b ɹ ɪ
ɡ ə l
b ɹ ɪ
m ə n
b ɹ ɪ
ɪ ŋ z
b ɹ ɪ
t ə n
b ɹ aɪ
n ɪ ŋ
b ɹ ɪ
ɪ ŋ k
b ɹ ɪ
ŋ k s
b ɹ ɪ
k ə ɹ
b ɹ ɪ
h ɔː f
b ɹ ɪ
k l iː
b ɹ ɪ
l iː z
b ɹ ɪ
k l iː
b ɹ ɪ
m ə n
b ɹ ɪ
m ə n
b ɹ ɪ
ə n z
b ɹ ɪ
ʃ ɪ p
b ɹ ɪ
aɪ ə ɹ
b ɹ ɪ
aɪ ə ɹ
b ɹ ɪ
ŋ k s
b ɹ ɪ
ʃ ɪ p
b ɹ ɪ
n l iː
b ɹ ɪ
n l iː
b ɹ ɪ
ɹ ɪ n
b ɹ ɪ
n ə ɹ
b ɹ ɪ
s ə ɹ
b ɹ ɪ
iː l d
b ɹ ɪ
s ə n
b ɹ ɪ
t ɛ k
b ɹ ɪ
t ə n
b ɹ aɪ
ɹ aɪ oʊ
b ɹ iː
iː oʊ ʃ
b ɹ iː
iː ɑː ʃ
b ɹ aɪ
ə d iː
b ɹ aɪ
aɪ ə n
b ɹ iː
n ɛ s
b ɹ ɪ
ɔː n t
b ɹ ɪ
b eɪ n
b ɹ ɪ
b ɪ n
b ɹ ɪ
b w ɑː
b ɹ ɪ
b w ɑː
b ɹ ɪ
b ə n
b ɹ ɪ
ə ɹ ɡ
b ɹ iː
s k oʊ
b ɹ ɪ
s k oʊ
b ɹ ɪ
d aɪ n
b ɹ iː
ɛ n oʊ
b ɹ iː
n oʊ z
b ɹ ɪ
ɪ s k
b ɹ ɪ
k ə ɹ
b ɹ ɪ
k ə t
b ɹ ɪ
s k iː
b ɹ ɪ
s k iː
b ɹ ɪ
k ɪ n
b ɹ ɪ
k l iː
b ɹ ɪ
s k iː
b ɹ ɪ
l ɪ n
b ɹ ɪ
s ə n
b ɹ ɪ
s ɛ t
b ɹ ɪ
ɪ s iː
b ɹ ɪ
s ə n
b ɹ ɪ
t ə ɹ
b ɹ ɪ
s ə l
b ɹ ɪ
ə l d
b ɹ ɪ
ə l z
b ɹ ɪ
l ɪ ŋ
b ɹ ɪ
l ɪ ŋ
b ɹ ɪ
t ə l
b ɹ ɪ
ə l z
b ɹ ɪ
s t oʊ
b ɹ ɪ
ɹ ɪ t
b ɹ iː
iː t ə
b ɹ ɪ
t ə n
b ɹ ɪ
ə n z
b ɹ ɪ
ə n z
b ɹ ɪ
n iː ə
b ɹ ɪ
ɪ k ə
b ɹ ɪ
tʃ ə ɹ
b ɹ ɪ
tʃ ə z
b ɹ aɪ
ɹ aɪ t
b ɹ ɪ
ʃ ə n
b ɹ ɪ
t ɪ ʃ
b ɹ ɪ
n ə l
b ɹ iː
iː t oʊ
b ɹ ɪ
ɔː j l
b ɹ ɪ
t ə n
b ɹ ɪ
ə n z
b ɹ ɪ
ə n z
b ɹ ɪ
ɪ t s
b ɹ ɪ
ɹ ɪ tʃ
b ɹ ɪ
ɹ ɪ t
b ɹ ɪ
t ə n
b ɹ ɪ
t ə n
b ɹ ɪ
n iː ə
b ɹ ɪ
n j ə
b ɹ ɪ
ə n iː
b ɹ ɪ
t ə n
b ɹ ɪ
h ə m
b ɹ ɪ
iː ə n
b ɹ ɪ
t ɪ n
b ɹ ɪ
h æ m
b ɹ ɪ
t ə l
b ɹ ɪ
l ə ɹ
b ɹ ɪ
ɪ s t
b ɹ ɪ
t ə n
b ɹ ɪ
ɪ t s
b ɹ ɪ
ɪ t s
b ɹ ɪ
ɪ k s
b ɹ ɪ
k s iː
b ɹ aɪ
iː ɪ s
b ɹ iː
iː n iː
b ɹ ɪ
z ɪ l
b ɹ ɪ
oʊ l ə
b ɹ ɪ
ɪ z iː
b ɹ iː
ɑː ɹ ə
b ɹ oʊ
b ɹ oʊ
ɹ oʊ z
b ɹ oʊ
ɹ oʊ tʃ
b ɹ oʊ
oʊ tʃ t
b ɹ oʊ
tʃ ɪ z
b ɹ oʊ
tʃ ɪ ŋ
b ɹ ɔː
ɹ ɔː d
b ɹ ɔː
ɔː d z
b ɹ ɔː
k ə ɹ
b ɹ ɔː
ə w eɪ
b ɹ ɔː
æ n d
b ɹ ɔː
b eɪ s
b ɹ ɔː
eɪ s t
b ɹ ɔː
b iː tʃ
b ɹ ɔː
ɛ n t
b ɹ ɔː
æ s t
b ɹ ɔː
t ə ɹ
b ɹ ɔː
ə ɹ z
b ɹ ɔː
ə ɹ z
b ɹ ɔː
ə ɹ z
b ɹ ɔː
t ɪ ŋ
b ɹ ɔː
ɪ ŋ z
b ɹ ɔː
s t s
b ɹ ɔː
d ɪ s
b ɹ ɔː
d ə n
b ɹ ɔː
ə n d
b ɹ ɔː
n ɪ ŋ
b ɹ ɔː
n ɪ ŋ
b ɹ ɔː
ə n z
b ɹ ɔː
d ə ɹ
b ɹ ɔː
ɪ s t
b ɹ ɔː
h ɛ d
b ɹ ɔː
ɹ s t
b ɹ ɔː
ɔː d iː
b ɹ ɔː
d l iː
b ɹ ɔː
d l iː
b ɹ ɔː
æ k s
b ɹ ɔː
f ʊ t
b ɹ ɔː
ɹ ɪ k
b ɹ ɔː
s aɪ d
b ɹ ɔː
d ɪ d
b ɹ ɔː
ɹ iː t
b ɹ ɔː
ɔː ɹ d
b ɹ oʊ
d ə s
b ɹ ɔː
v j uː
b ɹ ɔː
d w eɪ
b ɹ ɔː
w eɪ z
b ɹ ɔː
w ɛ l
b ɹ ɔː
ɔː d iː
b ɹ ɔː
iː ə n
b ɹ ɔː
ə n z
b ɹ oʊ
b ɛ k
b ɹ oʊ
ə ɹ ɡ
b ɹ ɑː
b s t
b ɹ ɑː
ɹ ɑː k
b ɹ oʊ
k eɪ d
b ɹ oʊ
eɪ d z
b ɹ oʊ
ɑː t oʊ
b ɹ ɑː
ɑː k oʊ
b ɹ ɑː
ə l iː
b ɹ ɑː
k l iː
b ɹ oʊ
ɹ oʊ s
b ɹ oʊ
oʊ k uː
b ɹ oʊ
ʃ ʊ ɹ
b ɹ oʊ
ʊ ɹ z
b ɹ ə
ʃ iː s
b ɹ ɑː
ɹ ɑː k
b ɹ ɑː
ɑː k s
b ɹ ɑː
ə ŋ k
b ɹ ɑː
k ə l
b ɹ ɑː
k ə ɹ
b ɹ ɑː
ə ɹ t
b ɹ ɑː
k ɪ t
b ɹ ɑː
h aʊ s
b ɹ ɑː
h ɔː f
b ɹ ɑː
h aʊ s
b ɹ ɑː
ɑː k iː
b ɹ ɑː
t ə n
b ɹ ɑː
ɹ s t
b ɹ ɑː
k l iː
b ɹ ɑː
l ɪ n
b ɹ ɑː
ɪ n z
b ɹ ɑː
m ə n
b ɹ ɑː
m ə n
b ɹ ɑː
aɪ ə ɹ
b ɹ ɑː
aɪ ə ɹ
b ɹ ɑː
n ə ɹ
b ɹ ɑː
m ɪ θ
b ɹ ɑː
t ə n
b ɹ ɑː
k w eɪ
b ɹ ɑː
w eɪ z
b ɹ ɑː
w ɛ l
b ɹ ɑː
ɹ ɑː d
b ɹ oʊ
oʊ d ə
b ɹ ɑː
b ɛ k
b ɹ oʊ
ɹ oʊ d
b ɹ oʊ
d ə n
b ɹ oʊ
d ə ɹ
b ɹ oʊ
ə ɹ z
b ɹ oʊ
ə n d
b ɹ ɑː
ɹ ɪ k
b ɹ ɑː
ɹ ɪ k
b ɹ ɑː
ɪ k z
b ɹ ɑː
ɪ k z
b ɹ ɑː
s ə n
b ɹ oʊ
s ə n
b ɹ ɑː
s ə n
b ɹ ɑː
d ə ɹ
b ɹ ɑː
h ɛ d
b ɹ oʊ
oʊ t iː
b ɹ oʊ
d ɪ n
b ɹ ɑː
k ɪ n
b ɹ ɑː
m ə n
b ɹ ɑː
æ k s
b ɹ ə
s k iː
b ɹ ɑː
ɹ ɪ k
b ɹ ɑː
d ɹ iː
b ɹ ɑː
s k iː
b ɹ ɑː
ɑː d t
b ɹ oʊ
oʊ d iː
b ɹ oʊ
d iː z
b ɹ ə
s k iː
b ɹ oʊ
b ɹ oʊ
k ə ɹ
b ɹ oʊ
k ə ɹ
b ɹ oʊ
oʊ ə ɹ
b ɹ oʊ
m ə n
b ɹ oʊ
ə ɹ z
b ɹ oʊ
ɡ ə n
b ɹ ɑː
d ə n
b ɹ ɑː
d ə n
b ɹ oʊ
ɡ n ə
b ɹ ɔː
ɔː j tʃ
b ɹ ɔː
ɔː j l
b ɹ ɔː
j l d
b ɹ ɔː
l ə ɹ
b ɹ ɔː
ə ɹ z
b ɹ ɔː
l ɪ ŋ
b ɹ ɔː
ɔː j n
b ɹ ɑː
ɹ ɑː k
b ɹ oʊ
oʊ k ɔː
b ɹ oʊ
ɹ oʊ k
b ɹ oʊ
k ə n
b ɹ oʊ
ɪ n d
b ɹ oʊ
d ɪ d
b ɹ oʊ
k ə ɹ
b ɹ oʊ
ə ɹ z
b ɹ oʊ
ɹ ɪ dʒ
b ɹ oʊ
ɹ ɪ dʒ
b ɹ oʊ
dʒ ɪ z
b ɹ oʊ
dʒ ɪ z
b ɹ oʊ
dʒ ɪ z
b ɹ oʊ
dʒ ɪ z
b ɹ oʊ
dʒ ɪ z
b ɹ oʊ
dʒ ɪ z
b ɹ oʊ
ə ɹ d
b ɹ oʊ
ɹ ɪ ŋ
b ɹ oʊ
ə ɹ z
b ɹ oʊ
ə ɹ z
b ɹ oʊ
k ɪ ŋ
b ɹ ə
iː n iː
b ɹ oʊ
l ɪ n
b ɹ ɑː
ɑː l iː
b ɹ ɑː
ɹ ɑː m
b ɹ oʊ
m ə n
b ɹ ɑː
ə ɹ ɡ
b ɹ ɑː
iː l d
b ɹ ɑː
l d z
b ɹ oʊ
m aɪ d
b ɹ oʊ
aɪ d z
b ɹ oʊ
m iː n
b ɹ ɑː
m l iː
b ɹ ɑː
ɹ ɑː m
b ɹ ɑː
m ə ɹ
b ɹ oʊ
ɑː n t
b ɹ ɑː
ɹ ɪ l
b ɹ ɑː
w ɛ l
b ɹ ɑː
w ɪ tʃ
b ɹ ɑː
ɑː n ɔː
b ɹ ɑː
ɑː ŋ k
b ɹ ɑː
iː ə l
b ɹ ɑː
t ə s
b ɹ ɑː
k oʊ p
b ɹ ɑː
ŋ k oʊ
b ɹ ɑː
k oʊ z
b ɹ ɑː
d ə ɹ
b ɹ oʊ
n ə ɹ
b ɹ ɑː
m ə n
b ɹ ɑː
ə n z
b ɹ ɑː
ə n z
b ɹ ɑː
ɑː ŋ k
b ɹ ə
iː m ə
b ɹ ɑː
ɹ ɑː n
b ɹ ɑː
n ə ɹ
b ɹ ɑː
ɑː n z
b ɹ ɑː
s ə n
b ɹ ɑː
t iː n
b ɹ ɑː
t aɪ n
b ɹ ɑː
t ə n
b ɹ ɑː
n t iː
b ɹ ɑː
t iː z
b ɹ ɔː
ɹ ə s
b ɹ ɔː
ɹ ə s
b ɹ ɔː
w ɪ n
b ɹ ɑː
w ɪ n
b ɹ ɑː
ŋ k s
b ɹ ɑː
ɑː n z
b ɹ ɑː
n z d
b ɹ ɑː
z ə n
b ɹ ɑː
z ə z
b ɹ ɑː
z ɪ z
b ɹ uː
ɹ uː tʃ
b ɹ oʊ
ɹ oʊ tʃ
b ɹ uː
ɹ uː d
b ɹ uː
d ɪ d
b ɹ uː
d ɪ ŋ
b ɹ uː
uː d iː
b ɹ ʊ
ɹ ʊ k
b ɹ ʊ
ʊ k s
b ɹ ʊ
æ ŋ k
b ɹ ʊ
ɹ ʊ k
b ɹ ʊ
ʊ k s
b ɹ ʊ
h ɪ l
b ɹ ʊ
k ə n
b ɹ ʊ
ə n z
b ɹ ʊ
k ə ɹ
b ɹ ʊ
ʊ k s
b ɹ ʊ
iː l d
b ɹ uː
ɑː ɹ t
b ɹ ʊ
v ə n
b ɹ ʊ
ɹ s t
b ɹ ʊ
k ɪ ŋ
b ɹ ʊ
ɪ ŋ z
b ɹ uː
ɪ n z
b ɹ ʊ
l aɪ n
b ɹ ʊ
l ə n
b ɹ ʊ
l ɪ n
b ɹ ʊ
ə n z
b ɹ ʊ
ɪ n z
b ɹ ʊ
m ə n
b ɹ ʊ
n ə ɹ
b ɹ ʊ
ə ɹ z
b ɹ ʊ
v ə ɹ
b ɹ ʊ
ʊ k s
b ɹ ʊ
ʊ k s
b ɹ ʊ
s ɪ z
b ɹ ʊ
ʊ k s
b ɹ uː
iː ə ɹ
b ɹ uː
ʃ aɪ ɹ
b ɹ ʊ
s aɪ d
b ɹ ʊ
t oʊ n
b ɹ ʊ
v ɪ l
b ɹ ʊ
ɪ l z
b ɹ uː
ɹ uː m
b ɹ uː
m ə l
b ɹ uː
ɹ uː m
b ɹ uː
iː l d
b ɹ uː
uː m z
b ɹ uː
t ɪ k
b ɹ uː
ɪ k s
b ɹ oʊ
oʊ f iː
b ɹ ɔː
ɹ ɔː ʃ
b ɹ oʊ
ɹ oʊ z
b ɹ ɑː
ɹ ɑː ʃ
b ɹ ɑː
ɪ ɹ z
b ɹ oʊ
iː ə s
b ɹ oʊ
iː ɪ s
b ɹ aʊ
s k iː
b ɹ ɑː
s k iː
b ɹ ɑː
h æ n
b ɹ ɑː
n ə n
b ɹ ɔː
ɹ ɔː s
b ɹ ə
ɑː ɹ d
b ɹ ɑː
ɑː ɹ t
b ɹ ə
ə s oʊ
b ɹ ɑː
s ə ɹ
b ɹ ə
s ɛ t
b ɹ ɔː
m ə n
b ɹ ɑː
ɑː s t
b ɹ ɑː
ɹ ə m
b ɹ ɑː
ɹ ɑː ʃ
b ɹ oʊ
t ə n
b ɹ ɔː
ɹ ɔː θ
b ɹ ɑː
θ ə l
b ɹ ɑː
ə l z
b ɹ ʌ
ð ə ɹ
b ɹ ʌ
ə ɹ z
b ɹ ʌ
h ʊ d
b ɹ ʌ
ɹ l iː
b ɹ ʌ
ə ɹ z
b ɹ ʌ
ə ɹ z
b ɹ ʌ
z ɪ z
b ɹ ʌ
s ə n
b ɹ ʌ
t ə n
b ɹ ɔː
ɔː θ s
b ɹ ɑː
m ə n
b ɹ ɑː
ɹ ɑː t
b ɹ ɑː
m ə n
b ɹ uː
tʃ ɛ k
b ɹ aʊ
aʊ d iː
b ɹ aʊ
b ɹ uː
ɡ ə m
b ɹ aʊ
aʊ ə ɹ
b ɹ aʊ
m ə n
b ɹ ɔː
ɹ ɔː t
b ɹ ɔː
t ə n
b ɹ uː
ɑː h ɑː
b ɹ ɑː
ə ɹ d
b ɹ w
ɑː ɹ d
b ɹ w
l ɛ t
b ɹ w
l ɛ t
b ɹ uː
ɹ uː n
b ɹ aʊ
t ə s
b ɹ aʊ
ɹ aʊ s
b ɹ uː
ɑː ɹ d
b ɹ uː
uː s oʊ
b ɹ uː
s ɛ t
b ɹ aʊ
w ə ɹ
b ɹ aʊ
b ɹ aʊ
ə ɹ d
b ɹ aʊ
b iː t
b ɹ aʊ
d ə ɹ
b ɹ oʊ
b ɹ aʊ
ɹ aʊ d
b ɹ aʊ
aʊ ə ɹ
b ɹ aʊ
ɹ aʊ n
b ɹ aʊ
aʊ n z
b ɹ aʊ
b æ k
b ɹ aʊ
ɹ aʊ n
b ɹ aʊ
aʊ n d
b ɹ aʊ
n ɛ l
b ɹ aʊ
n ə ɹ
b ɹ aʊ
ɪ s t
b ɹ aʊ
iː l d
b ɹ aʊ
l d z
b ɹ aʊ
aʊ n iː
b ɹ aʊ
n iː z
b ɹ aʊ
n ɪ ŋ
b ɹ aʊ
ɪ ŋ z
b ɹ aʊ
n ɪ ʃ
b ɹ aʊ
n l iː
b ɹ aʊ
n l iː
b ɹ aʊ
n l iː
b ɹ aʊ
n l oʊ
b ɹ aʊ
l ə ɹ
b ɹ aʊ
n aʊ t
b ɹ aʊ
aʊ t s
b ɹ aʊ
ɹ ɪ ɡ
b ɹ aʊ
aʊ n z
b ɹ aʊ
aʊ n z
b ɹ aʊ
s ə n
b ɹ aʊ
t aɪ n
b ɹ aʊ
t iː n
b ɹ aʊ
t oʊ n
b ɹ aʊ
v ɪ l
b ɹ aʊ
ɹ aʊ z
b ɹ aʊ
ɹ aʊ z
b ɹ aʊ
aʊ z d
b ɹ aʊ
z ə ɹ
b ɹ aʊ
ə ɹ z
b ɹ aʊ
z ɪ ŋ
b ɹ ɑː
ɑː k s
b ɹ ɑː
s ə n
b ɹ ɑː
m ə n
b ɹ ɑː
t ə n
b ɹ ɔː
ɹ ɔː j
b ɹ ɔː
ə ɹ d
b ɹ ɔː
h ɪ l
b ɹ ɔː
j l z
b ɹ ɑː
ɹ ɑː z
b ɹ oʊ
z ɛ k
b ɹ ɑː
m ə n
b ɹ ɑː
v ɪ tʃ
b ɹ ə
s k iː
b ɹ ʌ
k ə ɹ
b ɹ uː
b ɛ k
b ɹ uː
ɑː t oʊ
b ɹ uː
ɹ uː s
b ɹ uː
s ə z
b ɹ ʌ
ɹ ʌ tʃ
b ɹ uː
z ə n
b ɹ ʌ
ʌ k iː
b ɹ uː
s aɪ t
b ɹ ʌ
ɹ ʌ k
b ɹ ʌ
ʌ k s
b ɹ ʌ
k ə ɹ
b ɹ ʌ
m ə ɹ
b ɹ ʌ
m ə n
b ɹ ʌ
n ə ɹ
b ɹ ʌ
ʌ k s
b ɹ uː
d ə ɹ
b ɹ uː
b ɹ uː
tʃ ə ɹ
b ɹ uː
ɹ uː k
b ɹ ʊ
n ə ɹ
b ɹ uː
uː ɡ ə
b ɹ uː
m ə n
b ɹ uː
m ə n
b ɹ uː
ɡ ə n
b ɹ uː
ɡ ə ɹ
b ɹ uː
ə ɹ z
b ɹ uː
ɹ uː l
b ɹ uː
ɛ l ə
b ɹ uː
m ə ɹ
b ɹ uː
ɹ uː n
b ɹ uː
n ɪ ŋ
b ɹ uː
uː ə ɹ
b ɹ ʌ
ɹ ʌ f
b ɹ uː
ə ɹ d
b ɹ uː
dʒ ɪ z
b ɹ uː
ɹ uː ʒ
